secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,3e-05,0,0,0,1678,-105.26994673,40.01052069,0,0,21,0,-255,0,0,0,0,0,0,0,0
2,0,0,3e-05,0,0,0,1678,-105.26994597,40.01051969,0,0,21,0,-255,0,0,0,0,0,0,0,0
3,0,0,3e-05,0,0,0,1678.4,-105.26994723,40.01051969,0,0,21,0,-255,0,0,0,0,0,0,0,0
4,0,0,3e-05,0,0,0,1678.2,-105.26994748,40.01051952,0,0,21,0,-255,0,0,0,0,0,0,0,0
5,0,0,0.00036,0,0,0,1678.2,-105.26994614,40.01052296,0,0,21,0,-255,0,0,0,0,0,0,0,0
6,0,0,0.00037,0,0,0,1678.2,-105.26994614,40.01052313,0,0,21,0,-255,0,0,0,0,0,0,0,0
7,105,0,0.00038,0,0,829,1678.2,-105.26994648,40.01052354,0,0,21,0,50,0,0,0,0,0,0,0,0
8,127,0,0.00038,0,0,1526,1678.2,-105.26994648,40.01052363,0,0,21,0,44,0,0,0,0,0,0,0,0
9,129,0,0.00038,0,0,1362,1678.2,-105.26994648,40.01052354,0,0,21,0,51,0,0,0,0,0,0,0,0
10,129,0,0.00038,0,0,0,1678.2,-105.26994639,40.01052346,0,0,21,0,52,0,0,0,0,0,0,0,0
11,129,0,0.0004,0,0,0,1678.2,-105.26994623,40.01052354,0,0,21,0,52,0,0,0,0,0,0,0,0
12,0,0,0.0004,0,0,0,1678.2,-105.26994623,40.01052338,0,0,21,0,-255,0,0,0,0,0,0,0,0
