secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,43,0,0,0,0,0,1674,-105.26988537,40.01041835,0,0,21,0,-255,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1674.2,-105.26988529,40.01041751,0,0,21,0,-255,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1674.6,-105.26988453,40.01041668,0,0,21,0,-255,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1674.6,-105.26988378,40.01041601,0,0,21,0,-255,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,1674.4,-105.26988311,40.01041533,0,0,21,0,-255,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1674.4,-105.26988303,40.01041500,0,0,21,0,-255,0,0,0,0,0,0,0,0
7,0,0,6e-05,0,0,0,1674.4,-105.26988269,40.01041550,0,0,21,0,-255,0,0,0,0,0,0,0,0
8,0,0,6e-05,0,0,0,1674.6,-105.26988252,40.01041475,0,0,21,0,-255,0,0,0,0,0,0,0,0
9,0,0,9e-05,0,0,0,1674.6,-105.26988252,40.01041517,0,0,21,0,-255,0,0,0,0,0,0,0,0
10,0,0,9e-05,0,0,0,1674.4,-105.26988261,40.01041483,0,0,21,0,-255,0,0,0,0,0,0,0,0
11,0,0,0.0001,0,0,0,1674.4,-105.26988261,40.01041508,0,0,21,0,-255,0,0,0,0,0,0,0,0
12,0,0,0.0001,0,0,0,1674.6,-105.26988261,40.01041491,0,0,21,0,-255,0,0,0,0,0,0,0,0
13,115,0,0.0001,0,0,1510,1674.6,-105.26988269,40.01041475,0,0,21,0,49,0,0,0,0,0,0,0,0
14,129,0,0.0001,0,0,1544,1674.6,-105.26988269,40.01041466,0,0,21,0,51,0,0,0,0,0,0,0,0
15,127,0,0.0001,0,0,1251,1674.6,-105.26988286,40.01041450,0,0,21,0,50,0,0,0,0,0,0,0,0
16,127,0,0.0001,0,0,0,1674.6,-105.26988286,40.01041441,0,0,21,0,58,0,0,0,0,0,0,0,0
17,127,0,0.0001,0,0,0,1674.6,-105.26988286,40.01041441,0,0,21,0,58,0,0,0,0,0,0,0,0
18,0,0,0.0001,0,0,0,1674.6,-105.26988294,40.01041450,0,0,21,0,-255,0,0,0,0,0,0,0,0
19,0,0,0.0001,0,0,0,1674.6,-105.26988294,40.01041450,0,0,21,0,-255,0,0,0,0,0,0,0,0
20,0,0,0.0001,0,0,0,1674.6,-105.26988311,40.01041441,0,0,21,0,-255,0,0,0,0,0,0,0,0
